label_action;tag_action;tag_operator;crm_case_subject;crm_case_category;crm_case_reason;active;Creation Case Auto
Contrat Mobile - Envoyer les paramètres APN;crt_n2_opts_send_all_setting;SONATEL;Assistance;ASSISTANCE-DATA;ASS-DAT-PARAMETRAGE INTERNET MOBILE;true;true
Contrat Mobile - Action de génération du code de la carte suite soucis carte male grattée;cons_rech_n2_opts_voucher_code;SONATEL;Réclamation;ASSISTANCE-CREDIT;ASS-CRE-CODE ILLISIBLE;true;true
Contrat Mobile - Action de vérification de carte de recharge;cons_rech_n2_opts_voucher_carte;SONATEL;Réclamation;ASSISTANCE-CREDIT;ASS-CRE-CODE ILLISIBLE;true;true
Orange Money - Réinitialisation Code Secret OM;om_n2_otps_RESTPIN;SONATEL;Gestion;GESTION-OM;GEST-OM-DEBLOCAGE / REINITIALISATION;true;true
Orange Money - Action de Réactivation du compte Orange Money;om_n2_otps_RESUME;SONATEL;Assistance;GESTION-OM;GEST-OM-RETABLISSEMENT COMPTE;true;true
Orange Money - Action de Déblocage et Réinitialisation Code Secret OM;om_n2_otps_UNBARE_RESTPIN;SONATEL;Gestion;GESTION-OM;GEST-OM-DEBLOCAGE / REINITIALISATION;true;true
Orange Money - Action de Déblocage Code Secret OM;om_n2_otps_UNBAR;SONATEL;Gestion;GESTION-OM;GEST-OM-DEBLOCAGE / REINITIALISATION;true;true
Orange Money - Action de Suspension de compte Orange Money;om_n2_otps_SUSPEND;SONATEL;Assistance;ASSISTANCE-SVA;GEST-OM-SUSPENSION COMPTE;true;true
Service 3G;crt_n2_opts_3G_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-SER-ACTIVATION SERVICE;true;true
Messagerie Vocale(Francais);crt_n2_opts_BAOC_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-PERSONALISATION MESSAGERIE VOCALE;true;true
Ring Back Tone;crt_n2_opts_CRBT_ajout;SONATEL;;;;true;true
Mes Numéros Préférés Orange;crt_n2_opts_FnF_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION NUMEROS ILLIMITES;true;true
Package GPRS/MMS/EDGE;crt_n2_opts_GPRS_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Presentation du Numero;crt_n2_opts_IDAP_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Appel International;crt_n2_opts_IDD_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
IDENTIF-Suspension partielle;crt_n2_opts_ISUSPP_ajout;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
