"sujet";"categorie";"motif"
Achat;ACH-;ACH- ABONNEMENT SEMAINE WIDO
Achat;ACH-;ACH-ABONNEMENT JOUR WIDO
Achat;ACH-;ACH-ACH-FOR-CREDIT INITIAL NON POSITIONNE SUITE NA/TR/MI
Achat;ACH-;ACH-ACH-FOR-NA SANS PROVISIONNING
Achat;ACH-;ACH-ACH-FOR-VOLUME PASS INITIAL NON POSITIONNE SUITE NA
Achat;ACH-;ACH-ETUDE-ELIGIBILITE
Achat;ACH-;ACH-LIVRAISON NON CONFORME
Achat;ACH-;ACH-PROBLEME SUIVI DE COMMANDE
Achat;ACH-;ACH-RETARD LIVRAISON
Achat;ACH- CONFIG;ACH-CONF-PARAMETRAGE CUG
Achat;ACH-ACTIVATION;ACH-ACT- ENREGISTREMENT NUMERO CONVERGENT
Achat;ACH-ACTIVATION NOUVEAU SERVICE;ACH- ACT-NOU-SER- ACTIVATION NOUVEAU CLIENT DANS PRETUPS
Achat;ACHAT -INF- REITERATION;ACH-INF- REIT-RENSEIGNEMENT TELEPHONIQUE NUMERO INDISPONIBLE
Achat;ACHAT -INF- REITERATION;ACH-INF- REIT-RENSEIGNEMENT TELEPHONIQUE NUMERO INDISPONIBLE
Achat;ACHAT -INF- REITERATION;ACH-INF-REIT- RENSEIGNEMENT TELEPHONIQUE NUMERO COMMUNIQUE
Achat;ACHAT -INF- REITERATION;ACH-INF-REIT- RENSEIGNEMENT TELEPHONIQUE NUMERO COMMUNIQUE
Achat;ACHAT- INFO DIVERS;ACH-INF-DIV-DEMANDE INCOMPLÈTE
Achat;ACHAT- INFO DIVERS;ACH-INF-DIV-DEMANDE INCOMPLÈTE
Achat;ACHAT-BOUCLAGE;ACH-BOU- ND NON VISIBLE DANS ZSMART
Achat;ACHAT-BOUCLAGE;ACH-BOU-ACTIVATION NUMERO ILLIMITE
Achat;ACHAT-BOUCLAGE;ACH-BOU-ANOMALIE DOSSIER 
Achat;ACHAT-BOUCLAGE;ACH-BOU-ANOMALIE DOSSIER CLIENT N A PAS FAIT DE DEMANDE
Achat;ACHAT-BOUCLAGE;ACH-BOU-ANOMALIE DOSSIER NOM CLIENT NON CONFORME
Achat;ACHAT-BOUCLAGE;ACH-BOU-ANOMALIE INSTALLATION
Achat;ACHAT-BOUCLAGE;ACH-BOU-ANOMALIE INTERNET
Achat;ACHAT-BOUCLAGE;ACH-BOU-ANOMALIE LIGNE 
Achat;ACHAT-BOUCLAGE;ACH-BOU-ANOMALIE TVO
